freq = 0, validation epoch:0,loss:0.00124,accuracu:0.9439988938053098
freq = 0, validation epoch:1,loss:0.00127,accuracu:0.9424778761061947
freq = 0, validation epoch:2,loss:0.00139,accuracu:0.9352876106194691
freq = 0, validation epoch:3,loss:0.00102,accuracu:0.9547842920353983
freq = 0, validation epoch:4,loss:0.00101,accuracu:0.9546460176991151
freq = 0, validation epoch:5,loss:0.00097,accuracu:0.9587942477876106
freq = 0, validation epoch:6,loss:0.00096,accuracu:0.9589325221238938
freq = 0, validation epoch:7,loss:0.00098,accuracu:0.9597621681415929
freq = 0, validation epoch:8,loss:0.00096,accuracu:0.9599004424778761
freq = 0, validation epoch:9,loss:0.00096,accuracu:0.9597621681415929
freq = 0, validation epoch:10,loss:0.00097,accuracu:0.9589325221238938
freq = 0, validation epoch:11,loss:0.00097,accuracu:0.9594856194690266
freq = 0, validation epoch:12,loss:0.00096,accuracu:0.9603152654867256
freq = 0, validation epoch:13,loss:0.00096,accuracu:0.9599004424778761
freq = 0, validation epoch:14,loss:0.00098,accuracu:0.9582411504424779
freq = 0, validation epoch:15,loss:0.00095,accuracu:0.9600387168141593
freq = 0, validation epoch:16,loss:0.00096,accuracu:0.9603152654867256
freq = 0, validation epoch:17,loss:0.00096,accuracu:0.9596238938053098
freq = 0, validation epoch:18,loss:0.00096,accuracu:0.9600387168141593
freq = 0, validation epoch:19,loss:0.00096,accuracu:0.9599004424778761
freq = 0, validation epoch:20,loss:0.00096,accuracu:0.9596238938053098
freq = 0, validation epoch:21,loss:0.00096,accuracu:0.9586559734513275
freq = 0, validation epoch:22,loss:0.00098,accuracu:0.9593473451327433
freq = 0, validation epoch:23,loss:0.00095,accuracu:0.9601769911504425
freq = 0, validation epoch:24,loss:0.00096,accuracu:0.9608683628318584
freq = 0, validation epoch:25,loss:0.00096,accuracu:0.9607300884955752
freq = 0, validation epoch:26,loss:0.00095,accuracu:0.959070796460177
freq = 0, validation epoch:27,loss:0.00096,accuracu:0.9607300884955752
freq = 0, validation epoch:28,loss:0.00096,accuracu:0.9599004424778761
freq = 0, validation epoch:29,loss:0.00095,accuracu:0.9605918141592921
freq = 0, validation epoch:30,loss:0.00096,accuracu:0.9594856194690266
freq = 0, validation epoch:31,loss:0.00098,accuracu:0.9597621681415929
freq = 0, validation epoch:32,loss:0.00097,accuracu:0.9603152654867256
freq = 0, validation epoch:33,loss:0.00096,accuracu:0.9601769911504425
freq = 0, validation epoch:34,loss:0.00097,accuracu:0.9600387168141593
freq = 0, validation epoch:35,loss:0.00095,accuracu:0.9599004424778761
freq = 0, validation epoch:36,loss:0.00098,accuracu:0.9594856194690266
freq = 0, validation epoch:37,loss:0.00096,accuracu:0.9600387168141593
freq = 0, validation epoch:38,loss:0.00096,accuracu:0.9599004424778761
freq = 0, validation epoch:39,loss:0.00096,accuracu:0.9592090707964602
freq = 0, validation epoch:40,loss:0.00096,accuracu:0.9594856194690266
freq = 0, validation epoch:41,loss:0.00096,accuracu:0.9599004424778761
freq = 0, validation epoch:42,loss:0.00098,accuracu:0.9597621681415929
freq = 0, validation epoch:43,loss:0.00096,accuracu:0.9597621681415929
freq = 0, validation epoch:44,loss:0.00096,accuracu:0.9593473451327433
freq = 0, validation epoch:45,loss:0.00098,accuracu:0.9596238938053098
freq = 0, validation epoch:46,loss:0.00098,accuracu:0.9593473451327433
freq = 0, validation epoch:47,loss:0.00097,accuracu:0.9605918141592921
freq = 0, validation epoch:48,loss:0.00095,accuracu:0.9601769911504425
freq = 0, validation epoch:49,loss:0.00095,accuracu:0.9604535398230089
freq = 1, validation epoch:0,loss:0.00241,accuracu:0.879424778761062
freq = 1, validation epoch:1,loss:0.00141,accuracu:0.9341814159292036
freq = 1, validation epoch:2,loss:0.00125,accuracu:0.9406803097345132
freq = 1, validation epoch:3,loss:0.00100,accuracu:0.9567201327433629
freq = 1, validation epoch:4,loss:0.00099,accuracu:0.9569966814159292
freq = 1, validation epoch:5,loss:0.00099,accuracu:0.9576880530973452
freq = 1, validation epoch:6,loss:0.00095,accuracu:0.9607300884955752
freq = 1, validation epoch:7,loss:0.00095,accuracu:0.9616980088495575
freq = 1, validation epoch:8,loss:0.00095,accuracu:0.9601769911504425
freq = 1, validation epoch:9,loss:0.00093,accuracu:0.9616980088495575
freq = 1, validation epoch:10,loss:0.00095,accuracu:0.9619745575221239
freq = 1, validation epoch:11,loss:0.00095,accuracu:0.9603152654867256
freq = 1, validation epoch:12,loss:0.00097,accuracu:0.9586559734513275
freq = 1, validation epoch:13,loss:0.00095,accuracu:0.9616980088495575
freq = 1, validation epoch:14,loss:0.00095,accuracu:0.9612831858407079
freq = 1, validation epoch:15,loss:0.00096,accuracu:0.9604535398230089
freq = 1, validation epoch:16,loss:0.00095,accuracu:0.9616980088495575
freq = 1, validation epoch:17,loss:0.00096,accuracu:0.959070796460177
freq = 1, validation epoch:18,loss:0.00096,accuracu:0.9603152654867256
freq = 1, validation epoch:19,loss:0.00095,accuracu:0.9616980088495575
freq = 1, validation epoch:20,loss:0.00095,accuracu:0.9612831858407079
freq = 1, validation epoch:21,loss:0.00095,accuracu:0.9604535398230089
freq = 1, validation epoch:22,loss:0.00095,accuracu:0.9607300884955752
freq = 1, validation epoch:23,loss:0.00094,accuracu:0.9612831858407079
freq = 1, validation epoch:24,loss:0.00094,accuracu:0.9621128318584071
freq = 1, validation epoch:25,loss:0.00095,accuracu:0.9618362831858407
freq = 1, validation epoch:26,loss:0.00096,accuracu:0.9604535398230089
freq = 1, validation epoch:27,loss:0.00095,accuracu:0.959070796460177
freq = 1, validation epoch:28,loss:0.00096,accuracu:0.9608683628318584
freq = 1, validation epoch:29,loss:0.00094,accuracu:0.9622511061946902
freq = 1, validation epoch:30,loss:0.00096,accuracu:0.9600387168141593
freq = 1, validation epoch:31,loss:0.00094,accuracu:0.9622511061946902
freq = 1, validation epoch:32,loss:0.00095,accuracu:0.9614214601769911
freq = 1, validation epoch:33,loss:0.00094,accuracu:0.9625276548672567
freq = 1, validation epoch:34,loss:0.00095,accuracu:0.9603152654867256
freq = 1, validation epoch:35,loss:0.00095,accuracu:0.9601769911504425
freq = 1, validation epoch:36,loss:0.00096,accuracu:0.9600387168141593
freq = 1, validation epoch:37,loss:0.00095,accuracu:0.9601769911504425
freq = 1, validation epoch:38,loss:0.00096,accuracu:0.9608683628318584
freq = 1, validation epoch:39,loss:0.00094,accuracu:0.9614214601769911
freq = 1, validation epoch:40,loss:0.00098,accuracu:0.9576880530973452
freq = 1, validation epoch:41,loss:0.00096,accuracu:0.9615597345132744
freq = 1, validation epoch:42,loss:0.00096,accuracu:0.9615597345132744
freq = 1, validation epoch:43,loss:0.00095,accuracu:0.9603152654867256
freq = 1, validation epoch:44,loss:0.00094,accuracu:0.9607300884955752
freq = 1, validation epoch:45,loss:0.00093,accuracu:0.9618362831858407
freq = 1, validation epoch:46,loss:0.00095,accuracu:0.9612831858407079
freq = 1, validation epoch:47,loss:0.00094,accuracu:0.9616980088495575
freq = 1, validation epoch:48,loss:0.00094,accuracu:0.9610066371681416
freq = 1, validation epoch:49,loss:0.00096,accuracu:0.9605918141592921
freq = 2, validation epoch:0,loss:0.00287,accuracu:0.8387721238938053
freq = 2, validation epoch:1,loss:0.00130,accuracu:0.9404037610619469
freq = 2, validation epoch:2,loss:0.00113,accuracu:0.9473174778761062
freq = 2, validation epoch:3,loss:0.00099,accuracu:0.9574115044247787
freq = 2, validation epoch:4,loss:0.00101,accuracu:0.9564435840707964
freq = 2, validation epoch:5,loss:0.00097,accuracu:0.9592090707964602
freq = 2, validation epoch:6,loss:0.00097,accuracu:0.9592090707964602
freq = 2, validation epoch:7,loss:0.00097,accuracu:0.9596238938053098
freq = 2, validation epoch:8,loss:0.00096,accuracu:0.9601769911504425
freq = 2, validation epoch:9,loss:0.00097,accuracu:0.9603152654867256
freq = 2, validation epoch:10,loss:0.00096,accuracu:0.9607300884955752
freq = 2, validation epoch:11,loss:0.00096,accuracu:0.9601769911504425
freq = 2, validation epoch:12,loss:0.00096,accuracu:0.9604535398230089
freq = 2, validation epoch:13,loss:0.00097,accuracu:0.9605918141592921
freq = 2, validation epoch:14,loss:0.00097,accuracu:0.9589325221238938
freq = 2, validation epoch:15,loss:0.00094,accuracu:0.9604535398230089
freq = 2, validation epoch:16,loss:0.00097,accuracu:0.9600387168141593
freq = 2, validation epoch:17,loss:0.00100,accuracu:0.9571349557522124
freq = 2, validation epoch:18,loss:0.00098,accuracu:0.9601769911504425
freq = 2, validation epoch:19,loss:0.00095,accuracu:0.9604535398230089
freq = 2, validation epoch:20,loss:0.00096,accuracu:0.9586559734513275
freq = 2, validation epoch:21,loss:0.00096,accuracu:0.9599004424778761
